fold_id,candidate,inner_macro_log_loss,inner_beta_energy_precision,inner_gate_pass,inner_combined_energy_iou,selected,gate_fallback
beta_beta_G,C1,0.1914349885650384,0.9164646961243957,True,0.88459534989934,False,False
beta_beta_G,C2,0.17932141799091245,0.9209711816668521,True,0.8828278549940587,False,False
beta_beta_G,C3,0.17356693924972993,0.9132373827425213,True,0.8771582760900242,True,False
beta_beta_G,C4,0.19228369219533573,0.9076519162485372,True,0.8721556532500775,False,False
beta_beta_G,B1,0.1763093138065304,0.9169528433125063,True,0.8783814071840456,False,False
beta_beta_H,C1,0.20196250431591403,0.8987074658920046,False,0.8820554109249616,False,True
beta_beta_H,C2,0.19270050471189806,0.897852971476906,False,0.8811550836159505,False,True
beta_beta_H,C3,0.18766527493881222,0.8876440672437796,False,0.8731699303980164,True,True
beta_beta_H,C4,0.20576311293622856,0.881663610252813,False,0.8677908755609046,False,True
beta_beta_H,B1,0.1901432191708957,0.8941875767319718,False,0.8764897595623238,False,True
